,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,year,month,day,avg_spi,delta_spi,avg_score,delta_score,avg_importance,delta_importance
0,2016-08-12,1843,French Ligue 1,Bastia,Paris Saint-Germain,51.16,85.68,0.0463,0.838,0.1157,32.4,67.7,0.0,1.0,0.97,0.63,0.43,0.45,2016,8,12,68.42,-34.52000000000001,0.5,-1.0,50.05,-35.300000000000004
1,2016-08-12,1843,French Ligue 1,AS Monaco,Guingamp,68.85,56.48,0.5714,0.1669,0.2617,53.7,22.9,2.0,2.0,2.45,0.77,1.75,0.42,2016,8,12,62.66499999999999,12.369999999999997,2.0,0.0,38.3,30.800000000000004
2,2016-08-13,2411,Barclays Premier League,Hull City,Leicester City,53.57,66.81,0.3459,0.3621,0.2921,38.1,22.2,2.0,1.0,0.85,2.77,0.17,1.25,2016,8,13,60.19,-13.240000000000002,1.5,1.0,30.15,15.900000000000002
3,2016-08-13,2411,Barclays Premier League,Crystal Palace,West Bromwich Albion,55.19,58.66,0.4214,0.2939,0.2847,43.6,34.6,0.0,1.0,1.11,0.68,0.84,1.6,2016,8,13,56.925,-3.469999999999999,0.5,-1.0,39.1,9.0
4,2016-08-13,2411,Barclays Premier League,Everton,Tottenham Hotspur,68.02,73.25,0.391,0.3401,0.2689,31.9,48.0,1.0,1.0,0.73,1.11,0.88,1.81,2016,8,13,70.63499999999999,-5.230000000000004,1.0,0.0,39.95,-16.1
5,2016-08-13,2411,Barclays Premier League,Middlesbrough,Stoke City,56.32,60.35,0.43799999999999994,0.2692,0.2927,33.9,32.5,1.0,1.0,1.4,0.55,1.13,1.06,2016,8,13,58.335,-4.030000000000001,1.0,0.0,33.2,1.3999999999999986
6,2016-08-13,2411,Barclays Premier League,Burnley,Swansea City,58.98,59.74,0.4482,0.2663,0.2854,36.5,29.1,0.0,1.0,1.24,1.84,1.71,1.56,2016,8,13,59.36,-0.7600000000000051,0.5,-1.0,32.8,7.399999999999999
7,2016-08-13,2411,Barclays Premier League,Southampton,Watford,69.49,59.33,0.5759,0.1874,0.2367,34.1,30.7,1.0,1.0,1.05,0.22,1.52,0.41,2016,8,13,64.41,10.159999999999997,1.0,0.0,32.4,3.400000000000002
8,2016-08-13,1843,French Ligue 1,Bordeaux,St Etienne,62.01,64.92,0.4232,0.2764,0.3004,37.9,44.2,3.0,2.0,1.03,1.84,1.1,2.26,2016,8,13,63.465,-2.9100000000000037,2.5,1.0,41.05,-6.300000000000004
9,2016-08-13,2411,Barclays Premier League,Manchester City,Sunderland,86.42,53.64,0.8152,0.0525,0.1323,73.0,27.0,2.0,1.0,2.14,1.25,1.81,0.92,2016,8,13,70.03,32.78,1.5,1.0,50.0,46.0
10,2016-08-13,1843,French Ligue 1,Metz,Lille,54.34,66.1,0.3444,0.3479,0.3077,26.9,48.7,3.0,2.0,2.35,1.87,0.68,1.26,2016,8,13,60.22,-11.759999999999991,2.5,1.0,37.8,-21.800000000000004
11,2016-08-13,1843,French Ligue 1,Caen,Lorient,55.0,47.64,0.4737,0.2401,0.2862,28.1,28.5,3.0,2.0,2.14,2.04,1.88,0.91,2016,8,13,51.32,7.359999999999999,2.5,1.0,28.3,-0.3999999999999986
12,2016-08-13,1843,French Ligue 1,Montpellier,Angers,58.82,53.1,0.4939,0.2109,0.2952,22.5,27.7,1.0,0.0,0.8,0.53,0.58,1.28,2016,8,13,55.96,5.719999999999999,0.5,1.0,25.1,-5.199999999999999
13,2016-08-13,1843,French Ligue 1,Dijon FCO,Nantes,55.0,54.9,0.4471,0.249,0.3038,29.2,25.6,0.0,1.0,0.3,1.17,0.81,0.87,2016,8,13,54.95,0.10000000000000142,0.5,-1.0,27.4,3.599999999999998
14,2016-08-14,2411,Barclays Premier League,AFC Bournemouth,Manchester United,61.57,80.49,0.2111,0.5461,0.2428,27.9,58.0,1.0,3.0,0.51,2.21,1.11,0.88,2016,8,14,71.03,-18.919999999999995,2.0,-2.0,42.95,-30.1
15,2016-08-14,1843,French Ligue 1,AS Nancy Lorraine,Lyon,54.87,68.23,0.3584,0.3551,0.2865,25.2,53.2,0.0,3.0,0.37,2.34,1.05,1.39,2016,8,14,61.55,-13.360000000000007,1.5,-3.0,39.2,-28.000000000000004
16,2016-08-14,2411,Barclays Premier League,Arsenal,Liverpool,82.55,77.44,0.5551,0.2115,0.2334,62.7,63.9,3.0,4.0,1.14,1.84,1.19,1.49,2016,8,14,79.995,5.109999999999999,3.5,-1.0,63.3,-1.1999999999999957
17,2016-08-14,1843,French Ligue 1,Nice,Stade Rennes,56.7,53.62,0.475,0.2298,0.2952,25.1,28.6,1.0,0.0,0.71,1.3,0.33,1.54,2016,8,14,55.16,3.0800000000000054,0.5,1.0,26.85,-3.5
18,2016-08-14,1843,French Ligue 1,Marseille,Toulouse,62.62,56.83,0.5033,0.2126,0.284,33.4,22.0,0.0,0.0,0.38,0.26,0.59,0.81,2016,8,14,59.724999999999994,5.789999999999999,0.0,0.0,27.7,11.399999999999999
